,0,1
0,2017-05-23,4.3478260869565215
1,2017-05-24,4.688524590163935
2,2017-05-25,4.440860215053763
3,2017-05-26,4.595238095238095
4,2017-05-27,4.783333333333333
5,2017-05-28,4.863636363636363
6,2017-05-29,4.626373626373627
7,2017-05-30,4.602941176470588
8,2017-05-31,4.280405405405405
9,2017-06-01,4.516624040920716
10,2017-06-02,4.523605150214593
11,2017-06-03,4.670731707317073
12,2017-06-04,4.574468085106383
13,2017-06-05,4.752
14,2017-06-06,4.71304347826087
15,2017-06-07,4.536082474226804
16,2017-06-08,4.538461538461538
17,2017-06-09,4.595238095238095
18,2017-06-10,4.59375
19,2017-06-11,4.791666666666667
20,2017-06-12,4.589285714285714
21,2017-06-13,4.597560975609756
22,2017-06-14,4.388888888888889
23,2017-06-15,3.625
24,2017-06-16,3.625
25,2017-06-17,3.8333333333333335
26,2017-06-18,3.2777777777777777
27,2017-06-19,3.2222222222222223
28,2017-06-20,3.8
29,2017-06-21,2.3333333333333335
30,2017-06-22,2.8
31,2017-06-23,3.090909090909091
32,2017-06-24,3.2
33,2017-06-25,2.8
34,2017-06-26,3.4
35,2017-06-27,4.562893081761007
36,2017-06-28,4.667493796526054
37,2017-06-29,4.644268774703558
38,2017-06-30,4.67741935483871
39,2017-07-01,4.71875
40,2017-07-02,4.689655172413793
41,2017-07-03,4.734513274336283
42,2017-07-04,4.785046728971962
43,2017-07-05,4.534883720930233
44,2017-07-06,4.537634408602151
45,2017-07-07,4.525773195876289
46,2017-07-08,4.677083333333333
47,2017-07-09,4.466666666666667
48,2017-07-10,4.928571428571429
