date,AVG(score)
2017-05-23,4.3478260869565215
2017-05-24,4.688524590163935
2017-05-25,4.440860215053763
2017-05-26,4.595238095238095
2017-05-27,4.783333333333333
2017-05-28,4.863636363636363
2017-05-29,4.626373626373627
2017-05-30,4.602941176470588
2017-05-31,4.280405405405405
2017-06-01,4.516624040920716
2017-06-02,4.523605150214593
2017-06-03,4.670731707317073
2017-06-04,4.574468085106383
2017-06-05,4.752
2017-06-06,4.71304347826087
2017-06-07,4.536082474226804
2017-06-08,4.538461538461538
2017-06-09,4.595238095238095
2017-06-10,4.59375
2017-06-11,4.791666666666667
2017-06-12,4.589285714285714
2017-06-13,4.597560975609756
2017-06-14,4.388888888888889
2017-06-15,3.625
2017-06-16,3.625
2017-06-17,3.8333333333333335
2017-06-18,3.2777777777777777
2017-06-19,3.2222222222222223
2017-06-20,3.8
2017-06-21,2.3333333333333335
2017-06-22,2.8
2017-06-23,3.090909090909091
2017-06-24,3.2
2017-06-25,2.8
2017-06-26,3.4
2017-06-27,4.562893081761007
2017-06-28,4.667493796526054
2017-06-29,4.644268774703558
2017-06-30,4.67741935483871
2017-07-01,4.71875
2017-07-02,4.689655172413793
2017-07-03,4.734513274336283
2017-07-04,4.785046728971962
2017-07-05,4.534883720930233
2017-07-06,4.537634408602151
2017-07-07,4.525773195876289
2017-07-08,4.677083333333333
2017-07-09,4.466666666666667
2017-07-10,4.928571428571429
